uuid,name,price,processor,memory,hard_drive,graphics,img
14136b78-1444-11eb-9321-0242ac1c0002,New Inspiron 15 5000 Laptop (5501),"$1,499.00 ",Intel Core i7-1065G7,8,512GB_SSD,NVIDIA GeForce MX330,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/15_5501_5508/pdp/notebooks-inspiron-15-5501-5508-laptop-pdp-design-gallery504x350.jpg?fmt=jpg&wid=570&hei=400
1489280e-1444-11eb-9321-0242ac1c0002,New Inspiron 15 7501 Laptop,"$2,098.99 ",Intel Core i7-10750H,8,512GB_SSD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/sites/csimages/Videos_Images/en/3e4554b9-3080-4a01-bbe7-556b79678c6e.jpg
1492dbec-1444-11eb-9321-0242ac1c0002,New Inspiron 13 7000 Laptop (7300),"$2,099.00 ",Intel Core i7-1165G7,16,1TB_SSD,NVIDIA GeForce MX350,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/13_7300/pdp/evo/notebooks-inspiron-14-7300-laptop-pdp-design-gallery-504x350.jpg?fmt=jpg&wid=570&hei=400
149c857a-1444-11eb-9321-0242ac1c0002,New G5 15 5500 Laptop,"$2,198.99 ",Intel Core i7-10750H,16,512GB_SSD,NVIDIA GeForce GTX 1660 Ti,https://i.dell.com/sites/csimages/Video_Imagery/all/68603_g_series_g5_15_5500_light_360_thumb_1280x720_nvidia.jpg
14a645e2-1444-11eb-9321-0242ac1c0002,New Inspiron 13 7000 2-in-1 Laptop,"$2,198.99 ",Intel Core i7-1165G7,16,512GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/sites/csimages/App-Merchandizing_Images/all/inspiron-13-15-7000-2n1-2020-thumb-anz.jpg
14b0733c-1444-11eb-9321-0242ac1c0002,New Inspiron 14 7000 Laptop (7400),"$2,198.99 ",Intel Core i7-1165G7,16,1TB_SSD,NVIDIA GeForce MX350,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/14_7400/global_spi/ng/notebook-inspiron-14-7400-campaign-hero-504x350-ng.psd?fmt=jpg&wid=570&hei=400
14b9e6d8-1444-11eb-9321-0242ac1c0002,New Inspiron 13 2-in-1 7300 Laptop,"$2,198.99 ",Intel Core i7-10510U,16,512GB_SSD,Intel UHD Graphics,https://i.dell.com/sites/csimages/App-Merchandizing_Images/all/inspiron-13-15-7000-2n1-2020-thumb-anz.jpg
14c3cc84-1444-11eb-9321-0242ac1c0002,New Inspiron 15 7501 Laptop,"$2,248.99 ",Intel Core i7-10750H,16,1TB_SSD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/sites/csimages/Videos_Images/en/3e4554b9-3080-4a01-bbe7-556b79678c6e.jpg
14cd43a4-1444-11eb-9321-0242ac1c0002,New G5 15 5500 Laptop,"$2,298.98 ",Intel Core i7-10750H,16,1TB_SSD,NVIDIA GeForce GTX 1660 Ti,https://i.dell.com/sites/csimages/Video_Imagery/all/68603_g_series_g5_15_5500_light_360_thumb_1280x720_nvidia.jpg
14d7a2cc-1444-11eb-9321-0242ac1c0002,New XPS 13 2-in-1 (9310),"$2,298.99 ",Intel Core i5-1135G7,8,256GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/xps_notebooks/xps_13_9310/pdp/laptop-xps-13-2n1-9310-pdp-gallery-504x350_white.jpg?fmt=jpg&wid=570&hei=400
